country_code,country_name,regime_type,GDP_PPP,social_services
LUX,Luxembourg,capitalist_core,20589.428571428572,0.966
MAR,Morocco,capitalist_periphery,2649.5714285714284,0.164
MDG,Madagascar,revolutionary,1791.2380952380952,0.228
MEX,Mexico,capitalist_periphery,6888,0.293
MLI,Mali,capitalist_periphery,965.5714285714286,0.375
MLT,Malta,capitalist_periphery,4469.9047619047615,0.913
MMR,Myanmar,capitalist_periphery,1034.6190476190477,0.116
MNG,Mongolia,socialist,1229.3333333333333,0.805
MOZ,Mozambique,revolutionary,2329.285714285714,0.407
MRT,Mauritania,capitalist_periphery,1425.4285714285713,0.447
MUS,Mauritius,capitalist_periphery,5719.238095238095,0.811
MWI,Malawi,capitalist_periphery,790.1428571428571,0.386
MYS,Malaysia,capitalist_periphery,3673.6190476190477,0.719
NAM,Namibia,capitalist_periphery,6074.428571428572,0.064
NER,Niger,capitalist_periphery,1275.952380952381,0.37
NGA,Nigeria,capitalist_periphery,1706.952380952381,0.194
NIC,Nicaragua,revolutionary,4293.952380952381,0.344
NLD,Netherlands,capitalist_core,18558.428571428572,0.943
NOR,Norway,capitalist_core,16833.571428571428,0.986
NPL,Nepal,capitalist_periphery,1039.095238095238,0.108
NZL,New Zealand,capitalist_core,18078.714285714286,0.964
OMN,Oman,capitalist_periphery,4524.190476190476,0.684
PAK,Pakistan,capitalist_periphery,1418.142857142857,0.115
PAN,Panama,capitalist_periphery,4958.238095238095,0.653
PER,Peru,capitalist_periphery,6061.238095238095,0.299
PHL,Philippines,capitalist_periphery,2952.190476190476,0.279
POL,Poland,socialist,7444.333333333333,0.909
PRK,North Korea,socialist,2458.911607,0.801
PRT,Portugal,capitalist_core,8694.52380952381,0.861
PRY,Paraguay,capitalist_periphery,3141.285714285714,0.093
ROU,Romania,socialist,3444.904761904762,0.922
RWA,Rwanda,capitalist_periphery,1268.142857142857,0.148
SAU,Saudi Arabia,capitalist_periphery,13579.857142857143,0.628
SDN,Sudan,capitalist_periphery,1525.5238095238096,0.333
SEN,Senegal,capitalist_periphery,2266.4761904761904,0.395
SGP,Singapore,capitalist_periphery,7218.857142857143,0.904
SLE,Sierra Leone,capitalist_periphery,1422.4761904761904,0.204
SLV,El Salvador,capitalist_periphery,3597.1428571428573,0.13
SUN,USSR,socialist,8574.52380952381,0.963
SWE,Sweden,capitalist_core,19468.619047619046,0.979
SWZ,Swaziland,capitalist_periphery,1862.8095238095239,0.204
SYC,Seychelles,capitalist_periphery,4183.0952380952385,0.88
SYR,Syria,capitalist_periphery,6891.809523809524,0.36
TCD,Chad,capitalist_periphery,860.7619047619048,0.223
TGO,Togo,capitalist_periphery,1486.2380952380952,0.553
THA,Thailand,capitalist_periphery,2725.4761904761904,0.343
TTO,Trinidad and Tobago,capitalist_periphery,13459.142857142857,0.659
TUN,Tunisia,capitalist_periphery,3220.7619047619046,0.765
TUR,Turkey,capitalist_periphery,4610.666666666667,0.582
TWN,Taiwan,capitalist_periphery,4533.380952380952,0.735
TZA,Tanzania,capitalist_periphery,884.2380952380952,0.774
UGA,Uganda,capitalist_periphery,1226,0.176
URY,Uruguay,capitalist_periphery,8164.0952380952385,0.836
USA,United States,capitalist_core,24106.85714285714,0.673
VEN,Venezuela,capitalist_periphery,15029.952380952382,0.638
VNM,Vietnam,socialist,1274,0.638
YEM,Yemen,revolutionary,2300.5238095238096,0.122
YUG,Yugoslavia,socialist,6547.619047619048,0.859
ZAF,South Africa,capitalist_periphery,6150.857142857143,0.032
ZMB,Zambia,capitalist_periphery,1627.7619047619048,0.684
ZWE,Zimbabwe,revolutionary,1849.952380952381,0.601
