country_code,country_name,regime_type,material_footprint,doctors
NER,Niger,capitalist_periphery,5.522436590261997,0.0205
NGA,Nigeria,capitalist_periphery,1.4642414611031214,0.12575
NIC,Nicaragua,revolutionary,5.182918138359776,0.48475
NLD,Netherlands,capitalist_core,25.081055909324487,1.72
NOR,Norway,capitalist_core,24.775206205646217,1.981818182
NPL,Nepal,capitalist_periphery,1.325389444242773,0.0295
NZL,New Zealand,capitalist_core,27.282736683456225,1.55
OMN,Oman,capitalist_periphery,18.327520467260463,0.549
PAK,Pakistan,capitalist_periphery,2.531157124066857,0.301
PAN,Panama,capitalist_periphery,9.939833523166484,0.90425
PER,Peru,capitalist_periphery,6.72933319408701,0.784875
PHL,Philippines,capitalist_periphery,4.287998103698274,0.1398
PNG,Papua New Guinea,capitalist_periphery,3.740048482249253,0.09275
POL,Poland,socialist,15.800226627083122,1.772727273
PRK,North Korea,socialist,1.4243555827800551,2.53
PRT,Portugal,capitalist_core,9.96231093694677,1.52
PRY,Paraguay,capitalist_periphery,13.393072647663473,0.5914
ROU,Romania,socialist,14.72827838306776,1.536818182
RWA,Rwanda,capitalist_periphery,2.6800327489100666,0.0272
SAU,Saudi Arabia,capitalist_periphery,19.17710655321403,0.55
SDN,Sudan,capitalist_periphery,3.2708869302359074,0.09375
SEN,Senegal,capitalist_periphery,4.520994247713054,0.072333333
SGP,Singapore,capitalist_periphery,30.39122341753923,0.84825
SLE,Sierra Leone,capitalist_periphery,2.223656127136339,0.06
SLV,El Salvador,capitalist_periphery,4.588293794950829,0.32675
SOM,Somalia,revolutionary,8.790213486468872,0.049
SUN,USSR,socialist,18.849292780928334,3.703875963
SWE,Sweden,capitalist_core,15.267729644486463,2.163636364
SYR,Syria,capitalist_periphery,3.613244059077373,0.388333333
TCD,Chad,capitalist_periphery,5.0376349765783495,0.021
TGO,Togo,capitalist_periphery,4.904259113522651,0.064
THA,Thailand,capitalist_periphery,4.5729513181478625,0.1535
TUN,Tunisia,capitalist_periphery,7.049163048214723,0.238333333
TZA,Tanzania,capitalist_periphery,2.355058904109925,0.039333333
UGA,Uganda,capitalist_periphery,2.981390870766092,0.06125
URY,Uruguay,capitalist_periphery,13.036911652368998,1.74525
USA,United States,capitalist_core,28.15698338409498,1.433333333
VEN,Venezuela,capitalist_periphery,8.841252027824257,1.014142857
VNM,Vietnam,socialist,1.6568786594080864,0.244
YUG,Yugoslavia,socialist,12.118113929031662,1.50598562
ZAF,South Africa,capitalist_periphery,14.054346355353141,0.545
ZMB,Zambia,capitalist_periphery,3.719908188018011,0.1114
ZWE,Zimbabwe,revolutionary,6.0140896378259585,0.152666667
