country_code,country_name,regime_type,co2_new,doctors
MNG,Mongolia,socialist,2.134529075973525,1.729
MOZ,Mozambique,revolutionary,0.4793889480766538,0.02475
MRT,Mauritania,capitalist_periphery,0.3173332439299241,0.08
MUS,Mauritius,capitalist_periphery,0.7932778631353885,0.45925
MWI,Malawi,capitalist_periphery,0.14632942963149734,0.053
MYS,Malaysia,capitalist_periphery,1.1822050232273569,0.26475
NER,Niger,capitalist_periphery,0.05902309821741043,0.0205
NGA,Nigeria,capitalist_periphery,0.65805657952109875,0.12575
NIC,Nicaragua,revolutionary,0.6393064900425226,0.48475
NLD,Netherlands,capitalist_core,10.15185803776742,1.72
NOR,Norway,capitalist_core,10.879579137606742,1.981818182
NPL,Nepal,capitalist_periphery,0.03167073562312531,0.0295
NZL,New Zealand,capitalist_core,5.582239371816366,1.55
OMN,Oman,capitalist_periphery,7.450386772265197,0.549
PAK,Pakistan,capitalist_periphery,0.3835754984057389,0.301
PAN,Panama,capitalist_periphery,2.6347046265091523,0.90425
PER,Peru,capitalist_periphery,1.2264122621240316,0.784875
PHL,Philippines,capitalist_periphery,0.6151595857050481,0.1398
PNG,Papua New Guinea,capitalist_periphery,0.34997758436981297,0.09275
POL,Poland,socialist,8.6632403254463,1.772727273
PRK,North Korea,socialist,4.485247260641757,2.53
PRT,Portugal,capitalist_core,2.1953253026416593,1.52
PRY,Paraguay,capitalist_periphery,0.35641196428719824,0.5914
ROU,Romania,socialist,5.304825709758436,1.536818182
RWA,Rwanda,capitalist_periphery,0.04191933633216661,0.0272
SAU,Saudi Arabia,capitalist_periphery,7.049459482527797,0.55
SEN,Senegal,capitalist_periphery,0.35770026113032916,0.072333333
SGP,Singapore,capitalist_periphery,10.552581046120658,0.84825
SLE,Sierra Leone,capitalist_periphery,0.2392757697440399,0.06
SLV,El Salvador,capitalist_periphery,0.5300853382474775,0.32675
SOM,Somalia,revolutionary,0.07990038283101997,0.049
SUN,USSR,socialist,10.007316088614738,3.703875963
SUR,Suriname,capitalist_periphery,4.042587985372479,0.791
SWE,Sweden,capitalist_core,11.374140308131903,2.163636364
SWZ,Swaziland,capitalist_periphery,2.2020886140438867,0.053
SYC,Seychelles,capitalist_periphery,1.4624777048383688,0.356666667
SYR,Syria,capitalist_periphery,1.1988566910984775,0.388333333
TCD,Chad,capitalist_periphery,0.08752936842614503,0.021
TGO,Togo,capitalist_periphery,0.1732469821286666,0.064
THA,Thailand,capitalist_periphery,0.43862200559577214,0.1535
TUN,Tunisia,capitalist_periphery,0.8274001955676034,0.238333333
TZA,Tanzania,capitalist_periphery,0.15716859126342547,0.039333333
UGA,Uganda,capitalist_periphery,0.1307247001531149,0.06125
URY,Uruguay,capitalist_periphery,2.1749724150886802,1.74525
USA,United States,capitalist_core,20.44277758396635,1.433333333
VEN,Venezuela,capitalist_periphery,3.6474141626498935,1.014142857
VNM,Vietnam,socialist,0.35393109773156844,0.244
YEM,Yemen,revolutionary,0.5326883583084371,0.158
YUG,Yugoslavia,socialist,4.095396465286535,1.50598562
ZAF,South Africa,capitalist_periphery,7.008170568336172,0.545
ZMB,Zambia,capitalist_periphery,1.1093761320184656,0.1114
ZWE,Zimbabwe,revolutionary,1.5223192966338046,0.152666667
