country_code,country_name,regime_type,material_footprint,adolescent_pregnancies
DNK,Denmark,capitalist_core,19.763746847799784,1.5753
DZA,Algeria,capitalist_periphery,5.346189476156298,7.0276
ECU,Ecuador,capitalist_periphery,5.64559636312735,9.8641
EGY,Egypt,capitalist_periphery,3.2536061608157922,10.9525
ERI,Eritrea,revolutionary,1.1534024490456154,10.0052
ESP,Spain,capitalist_core,13.883450072129872,2.4885
ETH,Ethiopia,revolutionary,3.416834897596761,17.0636
FIN,Finland,capitalist_core,22.820911544568084,1.831
FRA,France,capitalist_core,16.793391896894832,2.3728
GAB,Gabon,capitalist_periphery,13.504874368634669,18.5479
GBR,United Kingdom,capitalist_core,17.71803666837235,3.0243
GHA,Ghana,capitalist_periphery,2.6067374643661267,12.2693
GIN,Guinea,capitalist_periphery,3.8311149128249675,16.4954
GMB,The Gambia,capitalist_periphery,12.255340154532611,19.3921
GRC,Greece,capitalist_periphery,12.655331388457604,5.3793999999999995
GTM,Guatemala,capitalist_periphery,2.7143771012277655,14.0746
HKG,Hong Kong,capitalist_periphery,34.045656678608296,1.2368
HND,Honduras,capitalist_periphery,3.993470738704064,13.8091
HTI,Haiti,capitalist_periphery,3.7159873959609224,8.4696
HUN,Hungary,socialist,12.809473481013653,6.9153
IDN,Indonesia,capitalist_periphery,2.641576499099904,11.3951
IND,India,capitalist_periphery,2.7902089673991326,14.5341
IRL,Ireland,capitalist_core,20.727961009431418,2.1654
IRN,Iran,capitalist_periphery,8.094742533085387,14.2827
IRQ,Iraq,capitalist_periphery,5.1943614702950045,8.5651
ISL,Iceland,capitalist_core,50.12074574091185,5.3707
ISR,Israel,capitalist_periphery,23.496283747987793,3.6439
ITA,Italy,capitalist_core,16.552230084948228,1.9758
JAM,Jamaica,capitalist_periphery,8.3017108123659,13.4483
JOR,Jordan,capitalist_periphery,13.234896983644905,8.4178
JPN,Japan,capitalist_core,18.6080802965509,0.3438
KEN,Kenya,capitalist_periphery,4.263876577500562,15.5947
KHM,Cambodia,revolutionary,3.5707806664610726,7.957800000000001
KOR,South Korea,capitalist_periphery,7.947120753977241,1.2409
KWT,Kuwait,capitalist_periphery,127.54988707061418,7.734699999999999
LAO,Laos,revolutionary,4.361095156712373,10.2195
LBN,Lebanon,capitalist_periphery,8.76131350916585,6.646599999999999
LBR,Liberia,capitalist_periphery,2.4621296850903485,19.3539
LBY,Libya,capitalist_periphery,13.567764024117013,7.4215
LKA,Sri Lanka,capitalist_periphery,1.5304221579858028,4.1897
LUX,Luxembourg,capitalist_core,31.34072226973935,1.7142
MAR,Morocco,capitalist_periphery,3.9445421412211927,7.9472
MDG,Madagascar,revolutionary,3.652132624709118,15.424600000000002
MEX,Mexico,capitalist_periphery,8.082116491300365,10.7948
MLI,Mali,capitalist_periphery,2.301047792590852,18.7084
MLT,Malta,capitalist_periphery,42.40389569624415,1.295
MMR,Myanmar,capitalist_periphery,2.2709924848232776,6.300800000000001
MNG,Mongolia,socialist,17.359561120320286,4.5418
MOZ,Mozambique,revolutionary,3.5070626231903193,17.398
MRT,Mauritania,capitalist_periphery,8.510259225075762,12.1395
MWI,Malawi,capitalist_periphery,2.7593785186844344,18.304499999999997
MYS,Malaysia,capitalist_periphery,7.105703521760238,3.396
NAM,Namibia,capitalist_periphery,15.643984146644238,10.6448
NER,Niger,capitalist_periphery,5.522436590261997,22.1599
NGA,Nigeria,capitalist_periphery,1.4642414611031214,16.6099
NIC,Nicaragua,revolutionary,5.182918138359776,16.2273
NLD,Netherlands,capitalist_core,25.081055909324487,0.9072
NOR,Norway,capitalist_core,24.775206205646217,2.446
NPL,Nepal,capitalist_periphery,1.325389444242773,12.3472
NZL,New Zealand,capitalist_core,27.282736683456225,3.8975
OMN,Oman,capitalist_periphery,18.327520467260463,21.5632
PAK,Pakistan,capitalist_periphery,2.531157124066857,10.2942
PAN,Panama,capitalist_periphery,9.939833523166484,11.2997
PER,Peru,capitalist_periphery,6.72933319408701,9.4337
PHL,Philippines,capitalist_periphery,4.287998103698274,6.1695
PNG,Papua New Guinea,capitalist_periphery,3.740048482249253,9.1683
POL,Poland,socialist,15.800226627083122,3.3957
PRK,North Korea,socialist,1.4243555827800551,1.3424
PRT,Portugal,capitalist_core,9.96231093694677,4.1019
PRY,Paraguay,capitalist_periphery,13.393072647663473,9.2083
ROU,Romania,socialist,14.72827838306776,7.1208
RWA,Rwanda,capitalist_periphery,2.6800327489100666,6.7871
SAU,Saudi Arabia,capitalist_periphery,19.17710655321403,14.9849
SDN,Sudan,capitalist_periphery,3.2708869302359074,11.4923
SEN,Senegal,capitalist_periphery,4.520994247713054,16.1686
SGP,Singapore,capitalist_periphery,30.39122341753923,1.2961
SLE,Sierra Leone,capitalist_periphery,2.223656127136339,19.8649
SLV,El Salvador,capitalist_periphery,4.588293794950829,14.9117
SOM,Somalia,revolutionary,8.790213486468872,8.5378
SUN,USSR,socialist,18.849292780928334,4.500987546491643
SWE,Sweden,capitalist_core,15.267729644486463,1.5123
SYR,Syria,capitalist_periphery,3.613244059077373,10.916
TCD,Chad,capitalist_periphery,5.0376349765783495,21.3135
TGO,Togo,capitalist_periphery,4.904259113522651,12.6222
THA,Thailand,capitalist_periphery,4.5729513181478625,5.9436
TUN,Tunisia,capitalist_periphery,7.049163048214723,3.2318
TUR,Turkey,capitalist_periphery,7.162407068308291,10.5607
TZA,Tanzania,capitalist_periphery,2.355058904109925,15.4837
UGA,Uganda,capitalist_periphery,2.981390870766092,18.1094
URY,Uruguay,capitalist_periphery,13.036911652368998,6.3857
USA,United States,capitalist_core,28.15698338409498,5.2753
VEN,Venezuela,capitalist_periphery,8.841252027824257,9.5523
VNM,Vietnam,socialist,1.6568786594080864,3.2828000000000004
YUG,Yugoslavia,socialist,12.118113929031662,4.472484455201468
ZAF,South Africa,capitalist_periphery,14.054346355353141,10.5943
ZMB,Zambia,capitalist_periphery,3.719908188018011,16.9501
ZWE,Zimbabwe,revolutionary,6.0140896378259585,14.438999999999998
