country_code,country_name,regime_type,co2,death_rate_malnutrition
DNK,Denmark,capitalist_core,10.800552943985116,7.88717983105149e-5
DOM,Dominican Republic,capitalist_periphery,0.9272813815819568,0.01624187443106693
DZA,Algeria,capitalist_periphery,1.7843444128483867,0.00204773400801774
ECU,Ecuador,capitalist_periphery,1.0375115214527637,0.01545019075903535
EGY,Egypt,capitalist_periphery,1.0213282885613708,0.00392501139530952
ERI,Eritrea,revolutionary,0.25725197053078264,0.16350682764913202
ESP,Spain,capitalist_core,4.971284991655424,2.487939160366444e-4
FIN,Finland,capitalist_core,9.452805704749224,2.75273706715689e-5
FJI,Fiji,capitalist_periphery,1.1392744823673548,0.00735405155376215
FRA,France,capitalist_core,9.837338982035238,0.00286450988799692
GAB,Gabon,capitalist_periphery,5.223346791383549,0.0155875251701445
GBR,United Kingdom,capitalist_core,11.984606114501743,1.012159788641864e-4
GHA,Ghana,capitalist_periphery,0.319488366409785,0.03193099784980038
GIN,Guinea,capitalist_periphery,0.21428597659163104,0.03918235637546011
GMB,The Gambia,capitalist_periphery,0.3451551156207123,0.02282152970479721
GRC,Greece,capitalist_periphery,5.3036290128346275,6.25937552868272e-5
GTM,Guatemala,capitalist_periphery,0.507766414597565,0.1376443691758009
HND,Honduras,capitalist_periphery,0.5485099849396616,0.00748219292905151
HTI,Haiti,capitalist_periphery,0.15692100360869266,0.03085373480988144
HUN,Hungary,socialist,6.658937763657013,4.05808772720875e-5
IDN,Indonesia,capitalist_periphery,0.4815868604478165,0.0246552513730857
IND,India,capitalist_periphery,0.438444646016065,0.01884997199992731
IRL,Ireland,capitalist_core,6.49883787238562,1.5008495980538898e-4
IRN,Iran,capitalist_periphery,2.9816828722598454,0.00211088451516633
IRQ,Iraq,capitalist_periphery,2.9629696513566954,0.00177273062184357
ISL,Iceland,capitalist_core,11.788739143587783,2.255043442657449e-4
ISR,Israel,capitalist_periphery,5.856829895101024,1.614836853862351e-4
ITA,Italy,capitalist_core,6.432483217001442,3.4507911762650704e-5
JAM,Jamaica,capitalist_periphery,2.699558229463986,0.00809103788204154
JOR,Jordan,capitalist_periphery,2.4983188832156347,8.274817842545564e-4
JPN,Japan,capitalist_core,8.206508739843475,2.030517330120084e-4
KEN,Kenya,capitalist_periphery,0.3137877250424108,0.03671195295098358
KHM,Cambodia,revolutionary,0.060948549916226565,0.05019391951979498
KOR,South Korea,capitalist_periphery,2.9674740324359226,0.0018379526314394
KWT,Kuwait,capitalist_periphery,55.0713430959671,6.24006566175294e-5
LAO,Laos,revolutionary,0.15665971947061627,0.03310393658990968
LBN,Lebanon,capitalist_periphery,2.30771118836328,5.068121055361527e-4
LBR,Liberia,capitalist_periphery,0.7602071759159393,0.04827475219279124
LBY,Libya,capitalist_periphery,7.8463382866592575,5.707829784627584e-4
LKA,Sri Lanka,capitalist_periphery,0.27934324824859585,0.00502874296264032
LSO,Lesotho,capitalist_periphery,0.39138872303913913,0.02245570479326302
LUX,Luxembourg,capitalist_core,33.87527860299476,7.221530448222057e-4
MAR,Morocco,capitalist_periphery,0.6096098669892726,0.00204181517258132
MDG,Madagascar,revolutionary,0.14388904421001353,0.08580177930790833
MDV,Maldives,capitalist_periphery,0.2921229042481667,0.02570583077616215
MEX,Mexico,capitalist_periphery,3.1459495796334465,0.02231831644865897
MLI,Mali,capitalist_periphery,0.06349836527431812,0.05790411514299502
MLT,Malta,capitalist_periphery,3.464423677816527,9.07341512820461e-5
MMR,Myanmar,capitalist_periphery,0.13850157752414222,0.02034270739027095
MNG,Mongolia,socialist,2.740206082251388,1.15943870949529e-4
MOZ,Mozambique,revolutionary,0.4050659345466334,0.06775077324763012
MRT,Mauritania,capitalist_periphery,0.5305273910681784,0.05217610061862163
MUS,Mauritius,capitalist_periphery,0.9569221686031603,0.00311122822060912
MWI,Malawi,capitalist_periphery,0.14419458615694697,0.05729150792143775
MYS,Malaysia,capitalist_periphery,1.4947201614303587,0.00162907646987949
NAM,Namibia,capitalist_periphery,0.8144298502972764,0.02483872439216366
NER,Niger,capitalist_periphery,0.09417733393654018,0.03811486949234436
NGA,Nigeria,capitalist_periphery,0.721566099725414,0.00765175290069109
NIC,Nicaragua,revolutionary,0.648968358864217,0.00953589472588057
NLD,Netherlands,capitalist_core,10.232309034816355,3.985362660895542e-4
NOR,Norway,capitalist_core,12.231493651189037,1.1091822336517672e-4
NPL,Nepal,capitalist_periphery,0.04349744960821061,0.04127403792276099
NZL,New Zealand,capitalist_core,6.083706671264984,2.012418469601645e-4
OMN,Oman,capitalist_periphery,7.352959279018973,7.714773569063888e-4
PAK,Pakistan,capitalist_periphery,0.42538214913028066,0.00905125087786659
PAN,Panama,capitalist_periphery,2.5231625158798026,0.00448776237740943
PER,Peru,capitalist_periphery,1.2099413595204442,0.0157859047113127
PHL,Philippines,capitalist_periphery,0.6116858727352883,0.01348399567072245
PNG,Papua New Guinea,capitalist_periphery,0.44498403819615695,0.00800130184361423
POL,Poland,socialist,8.914951620864294,7.61659933863437e-5
PRK,North Korea,socialist,5.343161834344967,0.00773557145151873
PRT,Portugal,capitalist_core,2.770514245712776,9.545532776447452e-4
PRY,Paraguay,capitalist_periphery,0.44314666388611385,0.00330167452739448
ROU,Romania,socialist,5.909005490392051,1.43201725624738e-4
RWA,Rwanda,capitalist_periphery,0.07655487829409292,0.04312115276231705
SAU,Saudi Arabia,capitalist_periphery,8.24089944198368,0.00246983077709784
SEN,Senegal,capitalist_periphery,0.40571034731670463,0.01513704873314586
SGP,Singapore,capitalist_periphery,13.460066142328378,1.665747801233515e-4
SLE,Sierra Leone,capitalist_periphery,0.23330131130601073,0.04231818317043109
SLV,El Salvador,capitalist_periphery,0.5607638277438909,0.00972111349785278
SOM,Somalia,revolutionary,0.10013565712221312,0.10541107852093468
SUN,USSR,socialist,10.856498077548697,2.6921187521105954e-4
SUR,Suriname,capitalist_periphery,4.249713013068171,0.00750256452494762
SWE,Sweden,capitalist_core,10.839804078759585,2.669080230243846e-4
SWZ,Swaziland,capitalist_periphery,2.452651314926715,0.01751280970816953
SYC,Seychelles,capitalist_periphery,2.764291624640298,0.00446945454622213
SYR,Syria,capitalist_periphery,1.6994435887794086,0.00269694166553078
TCD,Chad,capitalist_periphery,0.09698417067550351,0.06800424167901731
TGO,Togo,capitalist_periphery,0.22121271623222866,0.02057187209180321
THA,Thailand,capitalist_periphery,0.6094402938898267,0.00563922540115044
TUN,Tunisia,capitalist_periphery,1.0653118037939193,7.722008092337071e-4
TUR,Turkey,capitalist_periphery,1.7135594567895946,0.00173271429586767
TZA,Tanzania,capitalist_periphery,0.1535878394882839,0.0395239099274943
UGA,Uganda,capitalist_periphery,0.11756367789877262,0.03769185907968232
URY,Uruguay,capitalist_periphery,2.02473399585571,0.00228703871025806
USA,United States,capitalist_core,20.373216588933204,7.194142891693069e-4
VEN,Venezuela,capitalist_periphery,3.999827997875885,0.0044362386230928
VNM,Vietnam,socialist,0.31874076562530534,0.00104171953140206
YEM,Yemen,revolutionary,0.6177683575275603,0.02297547539598052
YUG,Yugoslavia,socialist,4.691947013255465,6.820892855257314e-5
ZAF,South Africa,capitalist_periphery,7.598778135042532,0.01356524793936496
ZMB,Zambia,capitalist_periphery,0.9434452957275624,0.04461419040954359
ZWE,Zimbabwe,revolutionary,1.4532281409598833,0.02699999537566039
