country_code,country_name,regime_type,GDP_PPP,women_parliament
LUX,Luxembourg,capitalist_core,20589.428571428572,13.6
MAR,Morocco,capitalist_periphery,2649.5714285714284,0
MDG,Madagascar,revolutionary,1791.2380952380952,2.9
MEX,Mexico,capitalist_periphery,6888,7.8
MLI,Mali,capitalist_periphery,965.5714285714286,3.7
MLT,Malta,capitalist_periphery,4469.9047619047615,3.1
MMR,Myanmar,capitalist_periphery,1034.6190476190477,2.6
MNG,Mongolia,socialist,1229.3333333333333,23.2
MOZ,Mozambique,revolutionary,2329.285714285714,12.4
MUS,Mauritius,capitalist_periphery,5719.238095238095,4.3
MWI,Malawi,capitalist_periphery,790.1428571428571,9.2
MYS,Malaysia,capitalist_periphery,3673.6190476190477,4.5
NAM,Namibia,capitalist_periphery,6074.428571428572,0
NLD,Netherlands,capitalist_core,18558.428571428572,13.3
NOR,Norway,capitalist_core,16833.571428571428,23.9
NPL,Nepal,capitalist_periphery,1039.095238095238,4.8
NZL,New Zealand,capitalist_core,18078.714285714286,4.3
PAN,Panama,capitalist_periphery,4958.238095238095,5.4
PER,Peru,capitalist_periphery,6061.238095238095,7.2
PHL,Philippines,capitalist_periphery,2952.190476190476,5.5
POL,Poland,socialist,7444.333333333333,23
PRK,North Korea,socialist,2458.911607,19.9
PRT,Portugal,capitalist_core,8694.52380952381,6.8
PRY,Paraguay,capitalist_periphery,3141.285714285714,3.3
ROU,Romania,socialist,3444.904761904762,33.1
SDN,Sudan,capitalist_periphery,1525.5238095238096,6.5
SEN,Senegal,capitalist_periphery,2266.4761904761904,7
SGP,Singapore,capitalist_periphery,7218.857142857143,0
SLE,Sierra Leone,capitalist_periphery,1422.4761904761904,0
SUN,USSR,socialist,8574.52380952381,32
SWE,Sweden,capitalist_core,19468.619047619046,27.8
SWZ,Swaziland,capitalist_periphery,1862.8095238095239,5.5
SYC,Seychelles,capitalist_periphery,4183.0952380952385,32
SYR,Syria,capitalist_periphery,6891.809523809524,3.6
TGO,Togo,capitalist_periphery,1486.2380952380952,10.4
THA,Thailand,capitalist_periphery,2725.4761904761904,3
TTO,Trinidad and Tobago,capitalist_periphery,13459.142857142857,8.3
TUN,Tunisia,capitalist_periphery,3220.7619047619046,3.2
TWN,Taiwan,capitalist_periphery,4533.380952380952,14.458
TZA,Tanzania,capitalist_periphery,884.2380952380952,8.712
UGA,Uganda,capitalist_periphery,1226,0.641
USA,United States,capitalist_core,24106.85714285714,3.7
VEN,Venezuela,capitalist_periphery,15029.952380952382,3
VNM,Vietnam,socialist,1274,26.8
YEM,Yemen,revolutionary,2300.5238095238096,0
YUG,Yugoslavia,socialist,6547.619047619048,20
ZAF,South Africa,capitalist_periphery,6150.857142857143,0.6
ZMB,Zambia,capitalist_periphery,1627.7619047619048,4.4
ZWE,Zimbabwe,revolutionary,1849.952380952381,9
