country_code,country_name,regime_type,material_footprint,social_services
SYR,Syria,capitalist_periphery,3.613244059077373,0.36
TCD,Chad,capitalist_periphery,5.0376349765783495,0.223
TGO,Togo,capitalist_periphery,4.904259113522651,0.553
THA,Thailand,capitalist_periphery,4.5729513181478625,0.343
TUN,Tunisia,capitalist_periphery,7.049163048214723,0.765
TUR,Turkey,capitalist_periphery,7.162407068308291,0.582
TZA,Tanzania,capitalist_periphery,2.355058904109925,0.774
UGA,Uganda,capitalist_periphery,2.9813908707660923,0.176
URY,Uruguay,capitalist_periphery,13.036911652368998,0.836
USA,United States,capitalist_core,28.15698338409498,0.673
VEN,Venezuela,capitalist_periphery,8.841252027824257,0.638
VNM,Vietnam,socialist,1.6568786594080864,0.638
YUG,Yugoslavia,socialist,12.118113929031662,0.859
ZAF,South Africa,capitalist_periphery,14.054346355353141,0.032
ZMB,Zambia,capitalist_periphery,3.719908188018011,0.684
ZWE,Zimbabwe,revolutionary,6.0140896378259585,0.601
