country_code,country_name,regime_type,material_footprint,poverty_rate
POL,Poland,socialist,15.800226627083122,0
PRT,Portugal,capitalist_core,9.96231093694677,0.48629579999999994
PRY,Paraguay,capitalist_periphery,13.393072647663473,1.978247
ROU,Romania,socialist,14.72827838306776,0.1300285
RWA,Rwanda,capitalist_periphery,2.6800327489100666,77.82539
SDN,Sudan,capitalist_periphery,3.2708869302359074,69.70389
SEN,Senegal,capitalist_periphery,4.520994247713054,48.80367
SLE,Sierra Leone,capitalist_periphery,2.223656127136339,50.69415000000001
SLV,El Salvador,capitalist_periphery,4.588293794950829,2.213348
SUN,USSR,socialist,18.849292780928334,4.5584022
SWE,Sweden,capitalist_core,15.267729644486463,0
SYR,Syria,capitalist_periphery,3.613244059077373,1.414723
TCD,Chad,capitalist_periphery,5.0376349765783495,74.65834
TGO,Togo,capitalist_periphery,4.904259113522651,36.74037
THA,Thailand,capitalist_periphery,4.5729513181478625,31.50587
TUN,Tunisia,capitalist_periphery,7.049163048214723,5.645662
TUR,Turkey,capitalist_periphery,7.162407068308291,31.65901
TZA,Tanzania,capitalist_periphery,2.355058904109925,70.5296
UGA,Uganda,capitalist_periphery,2.981390870766092,62.591620000000006
URY,Uruguay,capitalist_periphery,13.036911652368998,4.052900999999999
USA,United States,capitalist_core,28.15698338409498,0.7484685
VEN,Venezuela,capitalist_periphery,8.841252027824257,14.54056
YUG,Yugoslavia,socialist,12.118113929031662,1.4902089
ZAF,South Africa,capitalist_periphery,14.054346355353141,15.4651
ZMB,Zambia,capitalist_periphery,3.719908188018011,11.93246
