country_code,country_name,regime_type,GDP_PPP,adolescent_fertility
PRT,Portugal,capitalist_core,8694.52380952381,4.1019
PRY,Paraguay,capitalist_periphery,3141.285714285714,9.2083
ROU,Romania,socialist,3444.904761904762,7.1208
RWA,Rwanda,capitalist_periphery,1268.142857142857,6.7871
SAU,Saudi Arabia,capitalist_periphery,13579.857142857143,14.9849
SDN,Sudan,capitalist_periphery,1525.5238095238096,11.4923
SEN,Senegal,capitalist_periphery,2266.4761904761904,16.1686
SGP,Singapore,capitalist_periphery,7218.857142857143,1.2961
SLE,Sierra Leone,capitalist_periphery,1422.4761904761904,19.8649
SLV,El Salvador,capitalist_periphery,3597.1428571428573,14.9117
SUN,USSR,socialist,8574.52380952381,4.502078680656242
SWE,Sweden,capitalist_core,19468.619047619046,1.5123
SWZ,Swaziland,capitalist_periphery,1862.8095238095239,17.580000000000002
SYC,Seychelles,capitalist_periphery,4183.0952380952385,12.4191
SYR,Syria,capitalist_periphery,6891.809523809524,10.916
TCD,Chad,capitalist_periphery,860.7619047619048,21.3135
TGO,Togo,capitalist_periphery,1486.2380952380952,12.6222
THA,Thailand,capitalist_periphery,2725.4761904761904,5.9436
TTO,Trinidad and Tobago,capitalist_periphery,13459.142857142857,8.6812
TUN,Tunisia,capitalist_periphery,3220.7619047619046,3.2318
TUR,Turkey,capitalist_periphery,4610.666666666667,10.5607
TZA,Tanzania,capitalist_periphery,884.2380952380952,15.4837
UGA,Uganda,capitalist_periphery,1226,18.1094
URY,Uruguay,capitalist_periphery,8164.0952380952385,6.3857
USA,United States,capitalist_core,24106.85714285714,5.2753
VEN,Venezuela,capitalist_periphery,15029.952380952382,9.5523
VNM,Vietnam,socialist,1274,3.2828000000000004
YEM,Yemen,revolutionary,2300.5238095238096,17.6999
YUG,Yugoslavia,socialist,6547.619047619048,4.471425240705291
ZAF,South Africa,capitalist_periphery,6150.857142857143,10.5943
ZMB,Zambia,capitalist_periphery,1627.7619047619048,16.9501
ZWE,Zimbabwe,revolutionary,1849.952380952381,14.438999999999998
