country_code,country_name,regime_type,GDP_PPP,hospital_beds
MRT,Mauritania,capitalist_periphery,1425.4285714285713,0.555950001
MUS,Mauritius,capitalist_periphery,5719.238095238095,3.256133318
MYS,Malaysia,capitalist_periphery,3673.6190476190477,2.7275333403333333
NER,Niger,capitalist_periphery,1275.952380952381,0.495299995
NGA,Nigeria,capitalist_periphery,1706.952380952381,0.7109999955
NIC,Nicaragua,revolutionary,4293.952380952381,2.408949971
NPL,Nepal,capitalist_periphery,1039.095238095238,0.164500003
NZL,New Zealand,capitalist_core,18078.714285714286,9.849999905
OMN,Oman,capitalist_periphery,4524.190476190476,1.6139500145
PAK,Pakistan,capitalist_periphery,1418.142857142857,0.5562333266666667
PAN,Panama,capitalist_periphery,4958.238095238095,3.367500067
PER,Peru,capitalist_periphery,6061.238095238095,2.0922499895
PHL,Philippines,capitalist_periphery,2952.190476190476,1.718142850142857
POL,Poland,socialist,7444.333333333333,5.649999857
PRT,Portugal,capitalist_core,8694.52380952381,4
PRY,Paraguay,capitalist_periphery,3141.285714285714,1.682999969
ROU,Romania,socialist,3444.904761904762,8.8396400452
RWA,Rwanda,capitalist_periphery,1268.142857142857,1.4162333010000001
SAU,Saudi Arabia,capitalist_periphery,13579.857142857143,1.458199978
SDN,Sudan,capitalist_periphery,1525.5238095238096,0.9180333216666666
SEN,Senegal,capitalist_periphery,2266.4761904761904,1.290099978
SGP,Singapore,capitalist_periphery,7218.857142857143,3.732600053
SLE,Sierra Leone,capitalist_periphery,1422.4761904761904,1.0606999695
SLV,El Salvador,capitalist_periphery,3597.1428571428573,1.985000014
SUN,USSR,socialist,8574.52380952381,12.4764738730353
SWE,Sweden,capitalist_core,19468.619047619046,14.850000380000001
SYC,Seychelles,capitalist_periphery,4183.0952380952385,4.885849952999999
SYR,Syria,capitalist_periphery,6891.809523809524,1.0834333496666666
TGO,Togo,capitalist_periphery,1486.2380952380952,1.439900041
THA,Thailand,capitalist_periphery,2725.4761904761904,1.3234999775
TTO,Trinidad and Tobago,capitalist_periphery,13459.142857142857,4.985199928
TUN,Tunisia,capitalist_periphery,3220.7619047619046,2.312899947
TUR,Turkey,capitalist_periphery,4610.666666666667,2.0999999843333335
TZA,Tanzania,capitalist_periphery,884.2380952380952,1.386980009
UGA,Uganda,capitalist_periphery,1226,1.580500007
URY,Uruguay,capitalist_periphery,8164.0952380952385,4.123800039
USA,United States,capitalist_core,24106.85714285714,6.081818190454546
VEN,Venezuela,capitalist_periphery,15029.952380952382,0.6858285711428571
VNM,Vietnam,socialist,1274,3.5966999535
YEM,Yemen,revolutionary,2300.5238095238096,0.865499973
YUG,Yugoslavia,socialist,6547.619047619048,6.112811227422629
ZMB,Zambia,capitalist_periphery,1627.7619047619048,3.4095000024999997
ZWE,Zimbabwe,revolutionary,1849.952380952381,2.5700000126666667
