country_code,country_name,regime_type,GDP_PPP,death_rate_sanitation
DOM,Dominican Republic,capitalist_periphery,3111.548387096774,0.03728187637273848
DZA,Algeria,capitalist_periphery,4063.2580645161293,0.01130947030546493
ECU,Ecuador,capitalist_periphery,5301,0.0308760988900898
EGY,Egypt,capitalist_periphery,2690.3870967741937,0.04823425185932431
ESP,Spain,capitalist_core,11733.90322580645,2.773671753477449e-4
ETH,Ethiopia,revolutionary,925.2258064516129,0.34976617408348387
FIN,Finland,capitalist_core,17830.225806451614,5.247783348970796e-4
FRA,France,capitalist_core,20332.1935483871,4.677132110336063e-4
GAB,Gabon,capitalist_periphery,6992.612903225807,0.1051517767252656
GBR,United Kingdom,capitalist_core,19229.129032258064,4.668062205356026e-4
GHA,Ghana,capitalist_periphery,1972.0967741935483,0.1733393495667113
GIN,Guinea,capitalist_periphery,812.1290322580645,0.24632207897501865
GMB,The Gambia,capitalist_periphery,1415.7096774193549,0.12799149438262714
GNB,Guinea-Bissau,capitalist_periphery,1223.5483870967741,0.29837948668414593
GRC,Greece,capitalist_periphery,11461.41935483871,1.628500307503365e-4
GTM,Guatemala,capitalist_periphery,4980.774193548387,0.16991681607367048
HND,Honduras,capitalist_periphery,2720.483870967742,0.06063609874749159
HTI,Haiti,capitalist_periphery,1721.2903225806451,0.15431086818679385
HUN,Hungary,socialist,8947.225806451614,2.26566620330141e-4
IDN,Indonesia,capitalist_periphery,2454.1935483870966,0.11893818186949988
IND,India,capitalist_periphery,1481.1290322580646,0.2756023438462366
IRL,Ireland,capitalist_core,11713.41935483871,5.969440207575942e-4
IRN,Iran,capitalist_periphery,6414.612903225807,0.00943849670826213
IRQ,Iraq,capitalist_periphery,6196.548387096775,0.01137848708858071
ISL,Iceland,capitalist_core,19910.83870967742,3.900526148286321e-4
ISR,Israel,capitalist_periphery,14813.741935483871,3.2366174750565963e-4
ITA,Italy,capitalist_core,17711.709677419356,1.475937644648242e-4
JAM,Jamaica,capitalist_periphery,5298.129032258064,0.01305476190055302
JOR,Jordan,capitalist_periphery,5497.193548387097,0.00461907739401175
JPN,Japan,capitalist_core,17783,0.00116825819111961
KEN,Kenya,capitalist_periphery,1491.1935483870968,0.13357201760459675
KHM,Cambodia,revolutionary,1219.2903225806451,0.1230731605083332
KOR,South Korea,capitalist_periphery,5399.566823322581,0.00203345980957715
KWT,Kuwait,capitalist_periphery,29269.58064516129,0.00171647846831528
LAO,Laos,revolutionary,1032.9032258064517,0.17904374783718283
LBN,Lebanon,capitalist_periphery,5551,0.00533172634345472
LBR,Liberia,capitalist_periphery,3857.548387096774,0.2354791201628112
LBY,Libya,capitalist_periphery,5593.5161290322585,0.00800708418071899
LCA,St. Lucia,capitalist_periphery,2843.3548387096776,0.01219395557529428
LKA,Sri Lanka,capitalist_periphery,2701.9032258064517,0.03703638162297341
LSO,Lesotho,capitalist_periphery,1355.0967741935483,0.1849193876982584
LUX,Luxembourg,capitalist_core,23570.16129032258,2.7226666331185115e-4
MAR,Morocco,capitalist_periphery,3029.5806451612902,0.04249450409054155
MDG,Madagascar,revolutionary,1638.8709677419354,0.19215884965321484
MEX,Mexico,capitalist_periphery,7789.258064516129,0.03120939821609057
MLI,Mali,capitalist_periphery,1014.0645161290323,0.28791227371961997
MLT,Malta,capitalist_periphery,6494.677419354839,3.21250056390809e-4
MMR,Myanmar,capitalist_periphery,1145.258064516129,0.1375098314002947
MNG,Mongolia,socialist,1485.6774193548388,0.03231662883333276
MOZ,Mozambique,revolutionary,2122.2580645161293,0.21806048120985383
MRT,Mauritania,capitalist_periphery,1465.9354838709678,0.1846046582982836
MUS,Mauritius,capitalist_periphery,6776.258064516129,0.00685191992937165
MWI,Malawi,capitalist_periphery,827.8709677419355,0.24994608788215575
MYS,Malaysia,capitalist_periphery,4702.870967741936,0.01026140953423197
NAM,Namibia,capitalist_periphery,5912.677419354839,0.13576417948644337
NER,Niger,capitalist_periphery,1193.4193548387098,0.39809845161227864
NGA,Nigeria,capitalist_periphery,1696.741935483871,0.3010356503670109
NIC,Nicaragua,revolutionary,3870.3225806451615,0.04506564831587941
NLD,Netherlands,capitalist_core,20533.41935483871,2.336157353028362e-4
NOR,Norway,capitalist_core,20170.870967741936,4.776177163911003e-4
NPL,Nepal,capitalist_periphery,1090.225806451613,0.17934048503180544
NZL,New Zealand,capitalist_core,19215.967741935485,7.64868346486883e-4
OMN,Oman,capitalist_periphery,6160.258064516129,0.01777719226414476
PAK,Pakistan,capitalist_periphery,1685.3548387096773,0.1604846898468671
PAN,Panama,capitalist_periphery,5692.580645161291,0.00998642317127143
PER,Peru,capitalist_periphery,6043.193548387097,0.03588002523648639
PHL,Philippines,capitalist_periphery,3123.6129032258063,0.04874480201208281
POL,Poland,socialist,7899.129032258064,5.142809436746392e-4
PRI,Puerto Rico,capitalist_periphery,11074,0.00341497573376977
PRK,North Korea,socialist,2458.8118318387096,0.00523840531179728
PRT,Portugal,capitalist_core,10514.258064516129,8.101731805624895e-4
PRY,Paraguay,capitalist_periphery,3767.8064516129034,0.02235711987809726
ROU,Romania,socialist,4277.354838709677,0.00328169312428849
RWA,Rwanda,capitalist_periphery,1374.0967741935483,0.26169324374553043
SAU,Saudi Arabia,capitalist_periphery,14222.225806451614,0.02562636625912416
SDN,Sudan,capitalist_periphery,1475.032258064516,0.0762772467526988
SEN,Senegal,capitalist_periphery,2193.2903225806454,0.2126958459873732
SGP,Singapore,capitalist_periphery,10601.032258064517,0.00270524138646624
SLE,Sierra Leone,capitalist_periphery,1484.3225806451612,0.24890821364433044
SLV,El Salvador,capitalist_periphery,3521.3225806451615,0.04510574261772019
SUN,USSR,socialist,9304.806451612903,0.00510154222026422
SWE,Sweden,capitalist_core,21580.25806451613,3.048835057744605e-4
SWZ,Swaziland,capitalist_periphery,2302.7419354838707,0.1289797003512158
SYC,Seychelles,capitalist_periphery,4978.967741935484,0.01233106450998118
SYR,Syria,capitalist_periphery,7836.064516129032,0.00788654940194746
TCD,Chad,capitalist_periphery,785,0.28914279256310205
TGO,Togo,capitalist_periphery,1413.1935483870968,0.2118642869398556
THA,Thailand,capitalist_periphery,3570.1612903225805,0.02380540098423851
TTO,Trinidad and Tobago,capitalist_periphery,14391.09677419355,0.00905289868924663
TUN,Tunisia,capitalist_periphery,3777.9032258064517,0.00599909142211341
TUR,Turkey,capitalist_periphery,5463.451612903225,0.01016886806922513
TWN,Taiwan,capitalist_periphery,6916.548387096775,0.00197520491646955
TZA,Tanzania,capitalist_periphery,880.5806451612904,0.18715399600922417
UGA,Uganda,capitalist_periphery,1126.967741935484,0.1443915721974813
URY,Uruguay,capitalist_periphery,8681.354838709678,0.00360397055285917
USA,United States,capitalist_core,27062.83870967742,2.891737375487468e-4
VEN,Venezuela,capitalist_periphery,14701.612903225807,0.01842387556077166
VNM,Vietnam,socialist,1330.741935483871,0.0191580667070886
YEM,Yemen,revolutionary,2765.2580645161293,0.08702023338314882
YUG,Yugoslavia,socialist,7639.354838709677,0.00113401686261917
ZAF,South Africa,capitalist_periphery,6257.903225806452,0.08004498469063547
ZMB,Zambia,capitalist_periphery,1518.3548387096773,0.2056879976630848
ZWE,Zimbabwe,revolutionary,1944.6129032258063,0.0808994342519086
