country_code,country_name,regime_type,GDP_PPP,female_labour
NPL,Nepal,capitalist_periphery,1090.225806451613,25.04831154
NZL,New Zealand,capitalist_core,19215.967741935485,43.35600943
OMN,Oman,capitalist_periphery,6160.258064516129,14.94671422
PAK,Pakistan,capitalist_periphery,1685.3548387096773,10.87821652
PAN,Panama,capitalist_periphery,5692.580645161291,29.46926755
PER,Peru,capitalist_periphery,6043.193548387097,37.37242504
PHL,Philippines,capitalist_periphery,3123.6129032258063,38.66376696
POL,Poland,socialist,7899.129032258064,45.57586298
PRI,Puerto Rico,capitalist_periphery,11074,36.04416418
PRK,North Korea,socialist,2458.8118318387096,48.55217667
PRT,Portugal,capitalist_core,10514.258064516129,42.3868127
PRY,Paraguay,capitalist_periphery,3767.8064516129034,36.99399822
ROU,Romania,socialist,4277.354838709677,46.57852007
RWA,Rwanda,capitalist_periphery,1374.0967741935483,40.70453324
SAU,Saudi Arabia,capitalist_periphery,14222.225806451614,10.62585646
SDN,Sudan,capitalist_periphery,1475.032258064516,23.56027938
SEN,Senegal,capitalist_periphery,2193.2903225806454,32.17531786
SGP,Singapore,capitalist_periphery,10601.032258064517,36.90617433
SLE,Sierra Leone,capitalist_periphery,1484.3225806451612,51.1959674
SLV,El Salvador,capitalist_periphery,3521.3225806451615,35.14122834
SUN,USSR,socialist,9304.806451612903,47.61634711984695
SWE,Sweden,capitalist_core,21580.25806451613,47.79222284
SWZ,Swaziland,capitalist_periphery,2302.7419354838707,43.4125759
SYR,Syria,capitalist_periphery,7836.064516129032,18.54748216
TCD,Chad,capitalist_periphery,785,46.06555873
TGO,Togo,capitalist_periphery,1413.1935483870968,46.25217028
THA,Thailand,capitalist_periphery,3570.1612903225805,44.15182087
TTO,Trinidad and Tobago,capitalist_periphery,14391.09677419355,37.18652021
TUN,Tunisia,capitalist_periphery,3777.9032258064517,23.05641826
TUR,Turkey,capitalist_periphery,5463.451612903225,29.92233693
TZA,Tanzania,capitalist_periphery,880.5806451612904,49.82600656
UGA,Uganda,capitalist_periphery,1126.967741935484,46.84899255
URY,Uruguay,capitalist_periphery,8681.354838709678,38.99714578
USA,United States,capitalist_core,27062.83870967742,44.43386804
VEN,Venezuela,capitalist_periphery,14701.612903225807,38.17400506
VNM,Vietnam,socialist,1330.741935483871,50.83550833
YEM,Yemen,revolutionary,2765.2580645161293,18.88279398
YUG,Yugoslavia,socialist,7639.354838709677,41.73008181255495
ZAF,South Africa,capitalist_periphery,6257.903225806452,41.49643685
ZMB,Zambia,capitalist_periphery,1518.3548387096773,46.28964765
ZWE,Zimbabwe,revolutionary,1944.6129032258063,46.86621397
