country_code,country_name,regime_type,co2_new,years_schooling
NLD,Netherlands,capitalist_core,10.15185803776742,10.01
NOR,Norway,capitalist_core,10.879579137606742,11.3
NPL,Nepal,capitalist_periphery,0.03167073562312531,0.8436665
NZL,New Zealand,capitalist_core,5.582239371816366,10.44
PAK,Pakistan,capitalist_periphery,0.3835754984057389,2.38
PAN,Panama,capitalist_periphery,2.6347046265091523,7.04
PER,Peru,capitalist_periphery,1.2264122621240316,5.79
PHL,Philippines,capitalist_periphery,0.6151595857050481,5.79
POL,Poland,socialist,8.6632403254463,6.7180392
PRK,North Korea,socialist,4.485247260641757,7.1079377
PRT,Portugal,capitalist_core,2.1953253026416593,5.67
PRY,Paraguay,capitalist_periphery,0.35641196428719824,5.32
ROU,Romania,socialist,5.304825709758436,8.1470329
RWA,Rwanda,capitalist_periphery,0.04191933633216661,1.5047382
SAU,Saudi Arabia,capitalist_periphery,7.049459482527797,4.375
SEN,Senegal,capitalist_periphery,0.35770026113032916,1.26
SGP,Singapore,capitalist_periphery,10.552581046120658,5.5631314
SLE,Sierra Leone,capitalist_periphery,0.2392757697440399,2.01
SLV,El Salvador,capitalist_periphery,0.5300853382474775,3.66
SOM,Somalia,revolutionary,0.07990038283101997,0.5518679
SUN,USSR,socialist,10.007316088614738,8.875176921
SWE,Sweden,capitalist_core,11.374140308131903,10.98
SWZ,Swaziland,capitalist_periphery,2.2020886140438867,4.53
SYC,Seychelles,capitalist_periphery,1.4624777048383688,8.6848155
SYR,Syria,capitalist_periphery,1.1988566910984775,4.33
TCD,Chad,capitalist_periphery,0.08752936842614503,2.0547497
TGO,Togo,capitalist_periphery,0.1732469821286666,2.2864394
THA,Thailand,capitalist_periphery,0.43862200559577214,4.06
TUN,Tunisia,capitalist_periphery,0.8274001955676034,3.135402
TUR,Turkey,capitalist_periphery,1.3920887725154938,4.23
TZA,Tanzania,capitalist_periphery,0.15716859126342547,2.0726586
UGA,Uganda,capitalist_periphery,0.1307247001531149,2.18
URY,Uruguay,capitalist_periphery,2.1749724150886802,6.92
USA,United States,capitalist_core,20.44277758396635,11.93
VEN,Venezuela,capitalist_periphery,3.6474141626498935,5.59
VNM,Vietnam,socialist,0.35393109773156844,5.585
ZAF,South Africa,capitalist_periphery,7.008170568336172,5.2
ZMB,Zambia,capitalist_periphery,1.1093761320184656,4.8022383
ZWE,Zimbabwe,revolutionary,1.5223192966338046,4.061388
