country_code,country_name,regime_type,material_footprint,hospital_beds
SOM,Somalia,revolutionary,8.790213486468872,1.422000051
SUN,USSR,socialist,18.849292780928334,12.4764738730353
SWE,Sweden,capitalist_core,15.267729644486463,14.850000380000001
SYR,Syria,capitalist_periphery,3.613244059077373,1.0834333496666666
TGO,Togo,capitalist_periphery,4.904259113522651,1.439900041
THA,Thailand,capitalist_periphery,4.5729513181478625,1.3234999775
TUN,Tunisia,capitalist_periphery,7.049163048214723,2.312899947
TUR,Turkey,capitalist_periphery,7.162407068308291,2.0999999843333335
TZA,Tanzania,capitalist_periphery,2.355058904109925,1.386980009
UGA,Uganda,capitalist_periphery,2.981390870766092,1.580500007
URY,Uruguay,capitalist_periphery,13.036911652368998,4.123800039
USA,United States,capitalist_core,28.15698338409498,6.081818190454546
VEN,Venezuela,capitalist_periphery,8.841252027824257,0.6858285711428571
VNM,Vietnam,socialist,1.6568786594080864,3.5966999535
YUG,Yugoslavia,socialist,12.118113929031662,6.112811227422629
ZMB,Zambia,capitalist_periphery,3.719908188018011,3.4095000024999997
ZWE,Zimbabwe,revolutionary,6.0140896378259585,2.5700000126666667
