Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,50.24,44.673,35.681,33.444,38.036,41.236,43.512,43.788,44.271,42.499,41.462,38.969,38.485,40.441,40.631,40.327,40.633,43.791,45.877,48.86,50.763,52.298,55.405,59.191,61.409,61.866,60.592,60.079,65.587,68.556,73.201,78.736,86.553,85.981,82.148,69.251,62.587,54.18,48.124,41.327,36.644,32.841,32.756,31.669,31.569,29.062,24.607,24.544,25.22,28.266,29.07,28.694,29.083,25.412,27.222,24.66,24.621,21.379,19.533,19.041,18.571,18.511,
American Samoa,ASM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,53.75,56.67,58.531,59.651,56.865,55.951,56.091,55.869,55.738,54.334,52.78,50.505,48.232,47.411,45.414,44.311,42.378,40.645,42.82,44.171,45.646,47.206,47.679,45.031,46.295,46.982,48.24,49.277,49.765,52.092,53.99,55.21,56.806,56.704,54.972,52.984,51.057,49.096,50.58,50.397,50.092,48.565,46.233,43.602,42.235,38.524,36.881,35.167,36.404,36.393,37.072,39.2,41.515,43.498,44.618,43.031,39.35,35.06,32.192,30.65,30.191,30.036,
Antigua and Barbuda,ATG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,130.75,129.673,129.628,130.674,130.325,128.521,127.228,124.776,122.982,119.05,114,110.203,106.725,106.138,104.374,102.222,103.497,105.494,105.053,114.354,107.957,99.689,96.672,97.486,91.719,95.153,85.592,85.335,85.082,84.884,82.867,70.292,68.627,63.497,65.405,69.521,70.121,64.099,58.318,57.002,63.429,61.027,56.92,53.757,51.554,49.532,48.18,48.723,54.779,51.622,42.477,40.163,36.808,33.761,33.422,34.834,30.373,30.352,27.548,30.83,32.959,33.11,
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,43.556,45.557,43.6,44.61,45.626,46.657,47.591,47.233,47.146,47.594,49.151,53.641,52.076,47.458,42.644,38.364,34.104,31.341,29.243,27.837,27.085,27.509,26.557,25.779,22.492,21.94,20.663,19.691,19.588,20.015,21.673,21.491,21.593,20.629,20.312,19.797,19.469,18.99,18.257,17.959,17.357,17.238,16.826,15.998,15.913,15.998,15.815,16.67,17.776,17.408,16.622,15.981,15.709,15.059,13.249,12.322,10.968,10.43,9.983,8.938,8.081,8.096,
Austria,AUT,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,53.068,56.088,56.253,55.109,52.974,55.155,62.866,65.238,64.64,62.231,58.158,55.632,54.156,51.94,50.489,45.977,40.26,36.18,34.337,33.694,34.383,34.868,33.989,30.346,27.459,25.411,24.533,23.7,23.768,22.97,22.827,24.035,24.239,22.968,19.933,17.743,15.97,14.465,13.868,13.395,14.06,13.989,14.086,13.662,13.758,13.004,12.213,11.46,11.382,10.712,10.434,9.606,9.054,8.462,7.947,7.913,7.637,6.991,5.855,5.499,5.363,5.521,
Azerbaijan,AZE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,65.155,59.794,50.468,35.798,32.636,42.209,50.172,52.096,49.328,46.243,42.108,35.534,29.093,25.289,23.616,21.909,20.264,19.659,19.659,20.323,21.223,21.646,21.576,22.015,22.758,23.233,24.168,28.864,33.281,33.378,31.329,33.846,38.36,41.995,45.778,44.668,44.595,45.272,41.578,38.819,33.89,31.668,31.475,32.476,33.684,38.001,38.658,43.484,46.548,49.041,54.472,57.285,59.739,61.472,64.142,63.093,58.812,47.11,45.088,49.404,41.797,40.079,
Burundi,BDI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,91.198,90.928,90.596,90.422,89.957,90.12,88.753,88.584,88.973,91.331,92.087,90.544,89.742,88.056,88.513,90.255,92.258,93.141,92.949,94.435,92.768,89.93,85.888,84.138,76.317,74.536,73.007,71.788,70.05,71.795,74.13,76.396,77.095,77.785,75.554,76.888,75.781,73.976,75.241,78.845,81.409,80.58,82.256,83.894,83.545,80.494,77.066,74.299,71.732,74.853,75.944,73.442,70.097,65.349,62.042,60.503,58.393,56.593,56.272,54.856,54.36,53.621,
Belgium,BEL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,25.619,25.887,26.528,27.954,29.499,31.283,32.732,32.49,31.124,31.409,31.9,33.141,32.878,31.716,29.971,28.43,27.099,25.428,23.975,22.264,20.657,19.5,17.95,16.427,14.792,13.136,12.582,11.816,11.955,11.472,11.956,12.393,12.167,11.285,10.441,10.083,10.297,10.27,10.406,10.986,11.915,12.133,11.282,10.957,10.907,10.783,10.689,10.708,10.672,10.675,10.265,9.937,9.088,7.825,7.448,6.862,6.489,6.075,5.717,5.304,5.239,5.33,
Benin,BEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,141.909,146.819,148.638,150.186,152.643,152.936,149.992,145.854,143.476,142.786,143.103,142.101,139.532,136.987,135.925,135.526,135.26,135.277,132.575,135.738,136.972,135.341,132.4,123.967,126.597,126.106,125.577,129.659,130.355,122.992,125.025,124.259,122.479,127.359,124.946,121.609,120.739,117.66,120.879,120.303,117.261,117.756,115.452,115.528,114.768,109.721,105.206,104.604,101.052,98.103,95.85,93.653,93.041,93.969,95.483,95.516,96.016,95.546,95.481,93.897,92.935,92.259,
Burkina Faso,BFA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,151.903,152.396,153.235,155.791,157.898,157.906,156.01,153.586,154.901,154.009,153.639,153.307,154.679,153.691,149.372,145.614,147.26,146.871,146.734,149.839,150.372,147.284,145.035,142.782,148.324,150.537,148.751,147.653,144.982,144.105,144.36,143.6,141.701,139.102,140.104,140.172,140.66,137.319,137.187,136.61,135.684,130.965,127.504,130.013,128.557,128.128,129.284,129.055,129.054,128.047,129.541,130.065,130.329,130.291,127.006,122.57,118.473,116.273,115.166,113.416,112.228,110.509,
Bangladesh,BGD,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,249.119,250.654,251.405,248.396,242.589,235.958,231.803,232.802,233.604,236.876,237.515,237.822,232.245,226.989,224.96,217.208,217.041,217.745,208.035,211.306,210.858,209.418,208.462,202.564,200.016,193.189,189.496,189.952,183.742,182.791,175.741,166.996,167.401,164.391,162.84,158.828,151.819,151.788,149.733,146.969,147.994,142.584,138.077,136.63,134.765,121.664,119.067,123.323,115.765,112.422,112.165,100.959,100.956,99.307,88.557,83.664,83.359,78.29,78.359,77.678,76.411,75.496,
Bulgaria,BGR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,71.725,68.605,64.807,65.454,67.573,67.521,66.646,69.337,75.843,74.165,71.007,69.04,68.721,71.982,74.588,74.913,77.174,77.282,77.026,79.641,79.713,78.015,81.694,79.209,76.155,73.591,74.283,75.59,77.284,73.434,69.923,67.745,66.961,64.513,58.724,52.13,49.664,44.35,44.313,47.052,45.249,42.271,40.829,39.75,40.931,39.903,41.696,43.433,45.629,48.187,43.958,42.701,43.328,42.783,41.998,39.2,37.916,38.398,39.209,39.245,39.218,38.605,
Bahrain,BHR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,188.842,188.122,185.928,181.512,177.694,170.854,163.798,155.811,147.702,140.404,133.379,123.368,112.912,103.075,94.324,86.412,78.766,71.754,66.321,58.432,56.457,55.18,55.034,52.149,48.636,47.123,39.734,34.334,29.683,26.253,23.845,21.714,21.453,20.92,20.543,20.576,19.764,18.013,18.012,14.928,13.276,13.127,13.508,16.878,20.395,19.42,16.944,15.502,15.01,16.258,15.732,15.734,15.827,16.892,15.061,14.492,14.009,13.239,11.627,9.676,9.185,8.676,
"Bahamas, The",BHS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,104.648,104.658,105.046,103.644,102.244,99.78,98.201,97.507,96.975,94.355,92.057,90.846,89.49,86.566,84.219,79.052,79.07,77.671,76.154,74.785,73.74,73.07,71.598,69.812,68.564,67.67,67.104,64.759,63.129,63.184,65.267,67.021,76.276,75.772,69.088,67.363,63.053,60.951,55.841,49.427,47.804,47.952,46.222,44.582,43.987,44.139,37.177,39.172,40.785,38.38,35.993,33.855,34.694,28.784,33.017,30.622,28.642,26.67,26.371,26.022,25.84,25.686,
Bosnia and Herzegovina,BIH,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,44.807,44.228,43.499,41.954,42.452,45.561,47.697,48.782,48.395,47.978,46.843,48.169,47.7,47.027,45.435,44.42,42.793,41.125,39.867,38.731,38.473,38.389,38.36,38.146,38.614,39.108,38.638,37.833,38.579,39.107,38.315,37.174,36.35,34.165,32.102,30.732,30.033,32.892,26.297,20.505,17.848,17.971,18.914,18.222,17.836,17.153,16.594,16.015,16.29,16.135,14.83,12.464,12.285,10.863,10.655,10.862,10.966,10.836,10.493,10.223,10.049,9.86,
Belarus,BLR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,18.39,20.141,17.578,14.399,11.948,12.382,13.858,16.057,17.154,17.188,19.623,21.715,21.948,22.941,25.17,26.064,27.182,28.217,29.592,30.708,33.269,33.61,33.461,33.051,33.857,33.687,35.273,36.392,37.385,39.398,42.06,44.2,44.853,42.853,41.451,38.343,35.765,32.632,30.466,28.636,26.695,25.391,23.865,23.536,22.657,22.343,22.745,22.904,23.221,24.058,22.382,22.39,23.588,23.005,20.613,17.837,15.529,12.936,11.596,11.83,11.904,11.85,
Belize,BLZ,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,155.361,154.064,153.52,151.878,151.417,151.413,150.966,149.95,149.956,150.182,150.248,149.979,151.323,150.312,150.697,150.266,150.559,149.286,148.314,147.078,147.425,145.173,145.616,143.128,139.069,134.797,132.023,127.996,127.811,128.893,128.786,123.933,117.981,116.228,112.111,111.14,104.564,102.718,101.626,101.826,99.894,99.264,96.295,90.829,89.73,90.57,83.613,79.723,77.025,74.454,71.989,74.011,73.396,72.832,70.722,69.786,70.523,69.627,72.062,64.404,56.671,57.127,
Bermuda,BMU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,84.678,84.385,84.822,83.678,78.469,75.435,72.677,70.965,68.901,66.874,65.03,64.385,64.585,64.499,64.411,61.438,57.229,49.022,41.02,41.252,40.973,38.793,38.972,43.588,38.109,39.813,39.189,41.641,44.296,43.925,42.414,42.859,42.211,41.747,41.75,41.59,41.869,41.477,39.84,36.262,33.19,35.697,33.443,32.923,28.815,24.313,21.495,21.416,18.897,18.408,17.152,13.426,12.232,11.711,9.329,8.902,8.486,7.99,7.279,7.417,7.641,7.542,
Bolivia,BOL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,103.592,102.75,101.168,98.813,96.495,94.196,92.72,93.648,94.69,93.659,93.877,99.261,95.431,96.549,96.519,95.031,99.792,102.498,104.165,103.827,103.283,104.618,102.314,99.721,98.185,100.031,98.904,100.415,98.441,96.232,96.346,93.355,90.998,91.551,89.587,88.334,89.919,90.963,91.297,92.943,90.335,87.173,84.271,82.575,81.857,81.135,80.342,79.335,77.608,76.246,76.308,75.015,73.741,72.664,71.441,70.233,68.823,68.203,66.461,65.629,64.383,63.792,
Brazil,BRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,95.216,94.046,92.551,91.618,89.618,85.292,81.724,78.153,75.304,74.062,73.886,75.195,77.176,79.006,79.419,79.672,80.425,80.298,79.467,78.592,79.41,80.324,81.036,82.948,82.558,85.05,85.146,87.022,88.143,88.072,87.528,86.993,85.679,85.805,85.549,86.592,86.76,87.621,88.216,87.211,86.362,85.862,81.978,78.704,78.351,77.864,75.657,73.105,69.789,67.881,66.179,65.23,63.675,62.936,63.12,62.434,57.88,55.566,53.436,50.015,46.296,45.2,
Barbados,BRB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,119.687,116.771,114.54,112.513,107.268,103.466,102.763,97.884,93.806,92.759,90.503,88.149,85.466,84.698,81.185,76.995,72.202,72.673,75.823,73.234,72.504,72.574,70.839,68.524,64.664,57.392,52.099,49.225,47.408,50.82,54.331,55.043,56.765,56.318,56.399,55.938,56.26,55.827,55.928,52.703,53.139,54.927,53.007,51.115,49.185,47.61,46.114,46.1,45.655,45.758,45.138,44.533,43.017,42.192,41.888,41.555,41.218,41.438,42.154,42.163,42.421,42.297,
Brunei Darussalam,BRN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,93.597,92.063,87.829,83.116,79.391,77.235,75.616,73.979,72.636,71.945,71.329,71.2,69.981,67.904,65.908,62.957,60.382,58.433,56.992,55.928,54.788,52.996,50.012,46.407,41.614,41.019,40.733,41.425,39.131,39.121,37.813,37.336,36.875,34.665,32.329,30.468,28.451,27.803,28.612,28.73,29.152,27.421,24.69,23.189,21.799,20.331,19.029,18.617,17.361,16.517,15.721,15.073,14.866,13.55,12.266,11.525,10.617,10.027,10.025,9.955,10.026,9.978,
Bhutan,BTN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,128.182,127.953,127.94,128.763,129.776,130.763,131.36,130.65,129.596,128.377,127.431,127.246,127.142,127.003,126.687,126.675,126.529,126.222,125.728,125.042,124.172,123.156,122.038,120.805,119.425,117.82,116.452,113.62,111.689,109.386,106.404,103.258,100.371,97.457,93.652,89.5,85.273,80.934,77.698,73.285,69.775,65.79,62.261,58.385,56.846,53.76,49.694,47.613,44.87,41.708,38.769,35.764,33.867,32.736,31.189,29.516,27.035,24.207,21.632,19.659,19.242,18.977,
Botswana,BWA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,145.991,145.111,144.42,145.522,144.939,142.367,141.371,141.599,143.148,143.594,143.063,142.407,143.9,146.083,148.127,151.206,153.96,152.089,150.377,146.551,143.517,139.3,134.537,129.724,127.016,125.627,122.982,119.05,113.846,107.832,101.544,96.354,93.775,91.278,87.763,83.282,78.799,75.043,72.574,70.339,67.562,65.492,63.077,61.571,59.931,59.696,58.547,57.236,55.484,54.02,52.223,50.857,50.619,50.406,49.512,54.22,49.893,44.219,48.812,51.149,50.083,49.324,
Central African Republic,CAF,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,177.857,179.507,180.897,181.944,183.505,183.303,185.766,187.244,187.247,186.47,180.883,177.956,172.696,169.247,166.268,162.35,161.999,162.05,162.757,162.617,162.452,162.364,162.403,163.506,164.625,164.618,164.741,165.486,164.84,165.311,165.343,162.341,162.736,162.232,157.857,154.169,151.059,146.8,147.806,147.542,148.779,148.257,148.045,148.417,149.858,150.981,152.402,155.886,159.478,163.109,167.675,166.463,165.212,163.105,161.483,160.531,160.608,161.927,162.886,162.614,160.744,160.507,
Canada,CAN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,57.303,55.546,52.37,50.662,48.539,47.892,46.879,44.706,42.842,42.404,42.661,39.926,38.45,37.479,35.852,35.468,33.881,32.543,30.431,29.009,28.683,27.769,28.062,26.886,26.021,24.875,24.111,23.95,24.576,26.626,27.61,26.658,26.245,25.498,25.47,24.651,22.72,20.555,20.158,19.119,17.452,16.495,15.407,14.856,13.945,13.475,13.66,14.163,14.606,14.636,13.964,13.02,12.556,11.665,10.859,9.685,8.607,8.054,7.094,6.888,6.985,6.978,
Central Europe and the Baltics,CEB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,48.1611359,46.68343409,42.14273825,39.91771272,36.28010564,37.36929096,38.89142214,44.09647509,45.34333042,44.78465712,42.51118562,42.94174327,42.921305,44.60672202,48.90841076,51.68594794,52.68805956,52.62559539,52.04602077,50.50175283,50.60863642,49.44676905,49.29605338,47.614162,46.96069059,46.72072754,48.067719,48.49138101,46.2339189,42.47065366,41.34028724,40.92894012,39.4046067,37.68914085,34.94051347,31.2805957,29.10594869,27.5011396,26.22164362,25.08204806,24.15336919,22.49592668,21.66636494,21.63815883,21.65569992,21.93015662,22.45554035,23.08511075,24.67243001,24.6136618,22.46715767,21.18046864,21.38853909,20.83052064,21.13055544,20.76986219,20.9291439,20.61841448,19.98869277,19.38972267,19.23613087,19.06249013,
Switzerland,CHE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,15.205,20.066,21.381,23.387,24.817,26.001,26.931,27.478,27.151,23.954,23.147,21.954,20.683,19.589,17.781,15.254,12.842,10.799,10.116,9.666,9.907,9.787,9.582,8.553,8.18,7.057,6.859,6.6,7.101,7.172,7.556,8.283,7.827,7.022,6.231,5.763,5.755,5.671,5.777,6.105,6.168,5.633,5.618,5.43,5.396,5.162,4.674,4.489,4.417,4.276,4.083,3.627,3.542,3.207,3.061,2.852,2.874,2.557,2.403,2.185,2.194,2.212,
Channel Islands,CHI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,28.20282028,28.31551575,29.49061662,31.04433131,34.04850746,36.97104677,39.74091558,41.17252182,42.31703087,42.53262446,42.27848101,40.16372474,37.52159961,35.16174402,32.69144648,30.47660218,28.37028475,26.62843097,25.26315789,24.75492623,24.23884127,22.94157675,22.88329519,23.48672904,23.9719353,25.22195319,25.03620939,25.69149487,27.2479564,28.10203199,28.2837425,27.89034565,27.2007913,27.16981132,26.10698746,25.74102964,25.55828062,26.2063752,26.43607165,26.66340509,25.39760819,24.86943546,23.70768667,23.28067466,22.44331328,21.73669468,21.91364721,22.23647637,22.27219188,21.36152767,19.75850714,17.93319883,16.28406649,14.89337696,13.79466305,12.91638341,12.569992,11.04972376,10.76716016,10.58772688,10.76062876,11.0301769,
Chile,CHL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,86.483,86.276,84.827,85.712,85.157,86.125,87.02,86.922,91.865,92.987,88.773,85.772,87.877,86.89,86.083,85.272,83.472,82.381,81.539,78.684,75.78,73.388,71.261,69.934,69.248,67.632,65.517,64.749,65.193,67.144,68.178,70.748,70.155,70.867,70.92,70.773,70.067,68.82,67.308,63.882,61.305,59.139,56.22,51.278,49.294,50.171,52.213,53.95,55.42,54.403,53.205,52.145,50.989,48.368,44.832,40.067,34.096,27.979,24.292,24.127,24.08,24.082,
China,CHN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,51.059,44.334,66.365,83.276,69.4,59.938,52.066,42.001,48.075,45.714,44.196,40.541,34.411,30.495,28.644,25.631,24.284,20.316,15.131,12.533,12.749,16.332,24.029,25.563,27.302,28.228,28.796,29.27,27.963,28.448,30.986,27.892,22.499,21.184,15.419,14.349,14.217,11.911,11.641,11.92,12.579,12.917,12.814,12.675,12.528,13.389,13.712,14.324,15.141,15.998,15.908,15.488,16.256,16.013,16.39,15.327,15.282,14.901,13.325,12.939,11.73,11.048,
Cote d'Ivoire,CIV,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,202.315,204.492,206.196,208.472,209.285,207.56,206.372,206.764,206.831,205.768,203.001,204.431,203.909,207.019,209.118,210.076,213.46,207.868,205.657,205.034,204.076,200.997,196.776,194.293,190.8,183.919,181.181,177.128,168.783,169.852,164.676,160.747,155.332,149.235,143.443,143.743,139.73,139.528,140.004,140.075,140.972,140.735,139.734,138.56,134.459,130.581,126.975,123.437,120.676,118.605,119.999,117.265,113.986,112.985,112.712,112.919,112.076,111.545,109.253,107.17,105.891,104.968,
Cameroon,CMR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,181.915,186.965,194.592,198.115,196.357,194.88,193.99,189.505,184.932,185.181,185.174,185.108,183.864,188.262,187.38,182.837,184.627,187.699,190.134,189.169,186.987,185.28,186.555,192.993,189.739,185.581,183.598,178.921,174.701,171.593,168.519,166.075,161.617,158.62,155.436,152.22,147.535,145.126,143.702,144.554,142.596,141.754,139.577,137.572,136.144,134.5,132.497,130.278,128.406,127.412,127.055,127.934,122.712,121.068,119.042,118.841,118.649,118.239,116.168,114.532,111.522,110.378,
